Wavelength_nm,Energy_eV,Counts
427.326,2.9014,1502
427.496,2.90024,1520
427.667,2.89908,1524
427.837,2.89793,1467
428.008,2.89677,1468
428.179,2.89562,1450
428.349,2.89447,1424
428.52,2.89331,1393
428.691,2.89216,1417
428.861,2.89101,1378
429.032,2.88986,1390
429.202,2.88871,1401
429.373,2.88756,1332
429.544,2.88641,1366
429.714,2.88527,1319
429.885,2.88412,1322
430.055,2.88298,1315
430.226,2.88184,1286
430.397,2.88069,1283
430.567,2.87956,1267
430.738,2.87841,1223
430.909,2.87727,1236
431.079,2.87614,1229
431.25,2.875,1171
431.42,2.87386,1192
431.591,2.87272,1146
431.762,2.87159,1132
431.932,2.87046,1177
432.103,2.86932,1113
432.273,2.86819,1100
432.444,2.86706,1090
432.615,2.86592,1081
432.785,2.8648,1069
432.956,2.86367,1055
433.126,2.86254,1019
433.297,2.86141,1045
433.468,2.86028,1018
433.638,2.85916,1002
433.809,2.85804,987
433.979,2.85692,976
434.15,2.85579,964
434.32,2.85467,947
434.491,2.85355,944
434.662,2.85243,922
434.832,2.85131,907
435.003,2.85019,913
435.173,2.84908,895
435.344,2.84796,897
435.515,2.84684,879
435.685,2.84573,877
435.856,2.84461,867
436.026,2.8435,846
436.197,2.84239,838
436.368,2.84128,846
436.538,2.84017,839
436.709,2.83906,808
436.879,2.83795,801
437.05,2.83684,808
437.22,2.83574,807
437.391,2.83463,795
437.562,2.83352,798
437.732,2.83242,782
437.903,2.83132,777
438.073,2.83022,779
438.244,2.82911,755
438.414,2.82802,754
438.585,2.82691,751
438.756,2.82581,734
438.926,2.82472,720
439.097,2.82362,745
439.267,2.82252,709
439.438,2.82143,694
439.608,2.82034,706
439.779,2.81924,680
439.949,2.81815,676
440.12,2.81705,664
440.291,2.81596,664
440.461,2.81487,648
440.632,2.81378,654
440.802,2.8127,643
440.973,2.81161,642
441.143,2.81052,631
441.314,2.80943,626
441.485,2.80834,610
441.655,2.80726,623
441.826,2.80618,604
441.996,2.8051,592
442.167,2.80401,592
442.337,2.80294,593
442.508,2.80185,577
442.678,2.80078,568
442.849,2.79969,575
443.019,2.79862,577
443.19,2.79754,560
443.361,2.79646,561
443.531,2.79539,549
443.702,2.79431,536
443.872,2.79324,541
444.043,2.79217,559
444.213,2.7911,524
444.384,2.79002,540
444.554,2.78896,552
444.725,2.78788,541
444.895,2.78682,543
445.066,2.78575,525
445.237,2.78468,535
445.407,2.78362,520
445.578,2.78255,530
445.748,2.78149,495
445.919,2.78042,509
446.089,2.77936,503
446.26,2.7783,492
446.43,2.77724,484
446.601,2.77617,478
446.771,2.77512,479
446.942,2.77406,475
447.112,2.773,464
447.283,2.77194,459
447.453,2.77089,468
447.624,2.76983,452
447.794,2.76878,452
447.965,2.76772,435
448.135,2.76667,449
448.306,2.76562,444
448.477,2.76456,432
448.647,2.76351,416
448.818,2.76246,434
448.988,2.76141,414
449.159,2.76036,418
449.329,2.75932,394
449.5,2.75827,423
449.67,2.75723,402
449.841,2.75618,411
450.011,2.75514,388
450.182,2.75409,376
450.352,2.75305,407
450.523,2.75201,385
450.693,2.75097,367
450.864,2.74992,381
451.034,2.74889,391
451.205,2.74785,378
451.375,2.74681,384
451.546,2.74577,368
451.716,2.74474,369
451.887,2.7437,343
452.057,2.74267,371
452.228,2.74163,345
452.398,2.7406,352
452.569,2.73956,335
