Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
3.208097 9782094174547616.000000
3.206678 9861956885945950.000000
3.205261 9656875587718092.000000
3.203845 9546528670926586.000000
3.202438 9792897380680554.000000
3.201024 9551448621551744.000000
3.199612 9655243534864286.000000
3.198201 9162681753843810.000000
3.196791 9075236984441270.000000
3.195382 9131046872253968.000000
3.193983 9174935137642858.000000
3.192577 8847785229836428.000000
3.191172 8783678571577142.000000
3.189768 8851379888584284.000000
3.188366 8943198734128569.000000
3.186972 8902959687340952.000000
3.185572 8982939119339285.000000
3.184174 8593647870306665.000000
3.182776 8673475566228570.000000
3.181380 8982517849117459.000000
3.179985 9038671854526112.000000
3.178599 8853303838791506.000000
3.177206 8800623196444443.000000
3.175815 8759939363676508.000000
3.174424 8791833891887619.000000
3.173035 8629845096864126.000000
3.171656 8406863705295000.000000
3.170269 8511353172631429.000000
3.168884 8518796961946429.000000
3.167499 8343799411360000.000000
3.166116 8265875079484999.000000
3.164743 8212131622506825.000000
3.163362 8097353109810793.000000
3.161983 7994570336432935.000000
3.160605 7928247298103173.000000
3.159228 7971840223861268.000000
3.157860 7868611163251031.000000
3.156485 7752985857000951.000000
3.155112 7722960908449997.000000
3.153740 7631528189399366.000000
3.152369 7613607677420635.000000
3.151007 7398958668749998.000000
3.149638 7676019144411429.000000
3.148271 7522632663807857.000000
3.146905 7405939143797143.000000
3.145548 7584997425980952.000000
3.144184 7789083813450079.000000
3.142821 7622873527182540.000000
3.141459 7802598841878651.000000
3.140099 7858865413225396.000000
3.138748 7716991423397778.000000
3.137390 7785661115356507.000000
3.136033 8003340355104761.000000
3.134677 8010264246279762.000000
3.133323 7892893594258729.000000
3.131977 8223127433017143.000000
3.130625 8280036999474998.000000
3.129274 8598736330885713.000000
3.127925 8656050056861427.000000
3.126584 8426291078624999.000000
3.125236 8496029712063491.000000
3.123890 8540869330120871.000000
3.122545 9086405145630476.000000
3.121201 9106758696722460.000000
3.119866 8738437649577220.000000
3.118524 8946726567705397.000000
3.117183 8414395044186508.000000
3.115844 9075249891002538.000000
3.114514 8693014418788572.000000
3.113177 8738256791810000.000000
3.111841 8367702519474286.000000
3.110506 8463175230942142.000000
3.109180 8268418219718650.000000
3.107847 8098629038420634.000000
3.106516 8257314766699443.000000
3.105186 8277047161150475.000000
3.103857 7688794185274840.000000
3.102536 7416430678846428.000000
3.101209 7473532312214601.000000
3.099884 7416429216777777.000000
3.098559 7359220256435237.000000
3.097243 7009285288217142.000000
3.095921 7155325022515714.000000
3.094600 6957551778839998.000000
3.093280 7001752332015000.000000
3.091969 6701344980041666.000000
3.090651 6694285649873014.000000
3.089334 6405909546639761.000000
3.088018 6347383199776508.000000
3.086712 6378374723129522.000000
3.085398 6242798249179602.000000
3.084086 6453388605419683.000000
3.082775 6420356953373016.000000
3.081473 6374378799714284.000000
3.080164 6264035017691429.000000
3.078856 6179243657485714.000000
3.077549 6081417122994286.000000
3.076251 6189711837866667.000000
3.074947 6014278144741746.000000
3.073644 6006462752261905.000000
3.072341 6011555694322619.000000
3.071048 6003682022589206.000000
3.069748 6047618101824444.000000
3.068449 6065700337134285.000000
3.067151 6174609767004443.000000
3.065862 5816285799679999.000000
3.064566 5912161328124999.000000
3.063271 6034202218239998.000000
3.061978 5687876544912142.000000
3.060693 5861999598892857.000000
3.059402 5671384132209524.000000
3.058112 5754462680435000.000000
3.056830 5707050444034682.000000
3.055542 5829498657968253.000000
3.054255 5808249149520952.000000
3.052969 5734586965624761.000000
3.051692 5660766659108571.000000
3.050408 5639302878878571.000000
3.049125 5552168490694285.000000
3.047844 5622522343071428.000000
3.046571 5548335771027777.000000
3.045291 5276664752142539.000000
3.044013 5465475084232937.000000
3.042743 5272325578698412.000000
3.041467 5395477985272698.000000
3.040192 5505628533661666.000000
3.038918 5285607669841269.000000
3.037652 5237112700285713.000000
3.036380 5241501293631427.000000
3.035109 5312127731611429.000000
3.033847 5290032987326666.000000
3.032578 5082151184679919.000000
3.031311 5059841958140952.000000
3.030044 5090656209617063.000000
3.028786 5041676196466269.000000
3.027521 5125770826488889.000000
3.026258 5103402169479920.000000
3.025003 5507713814694999.000000
3.023741 5245369993920000.000000
3.022481 4822285190177857.000000
3.021222 5013475741071428.000000
3.019971 4803544225396825.000000
3.018714 4834329048666746.000000
3.017457 4798146920342222.000000
3.016210 4869186252815238.000000
3.014956 4564465084941270.000000
3.013703 4675749932727619.000000
3.012451 4706531684027777.000000
3.011207 4441253195892857.500000
3.009957 4579637694685714.000000
3.008708 4273384082997856.500000
3.007468 4411828520271666.500000
3.006221 4172434369012380.500000
3.004975 4162380376024444.000000
3.003738 4287538887558492.000000
3.002494 3993287169007936.000000
3.001251 3969499166099444.000000
3.000010 4284642551014603.000000
2.998776 3772502008977143.000000
2.997537 3992924855010000.000000
2.996298 3887485786674285.500000
2.995068 3713831164246666.500000
2.993831 3853049811561508.000000
2.992596 3883484523790476.000000
2.991368 3436636093520000.000000
2.990135 3821635595755555.500000
2.988902 3537928847048888.500000
2.987678 3650198140122857.000000
2.986448 3598476912547857.500000
2.985218 3382342417999999.500000
2.983997 3727734149206349.500000
2.982770 3840532218688888.500000
2.981543 3884874766104126.500000
2.980318 3791898723130475.500000
2.979101 3657498106101111.000000
2.977877 3481607117273650.000000
2.976655 3580875393849205.500000
2.975441 3735420877124999.500000
2.974220 3503969330811428.000000
2.973001 3617296045958571.000000
2.971790 3703151768661269.500000
2.970572 3775332928986666.000000
2.969356 3667703577163888.000000
2.968147 3670690349259127.000000
2.966933 3548928885841269.500000
2.965720 3704451414421190.000000
2.964514 3707464417030714.500000
2.963303 3641011427908570.500000
2.962092 3602262775984999.000000
2.960890 3605189079673888.500000
2.959682 3970340276933333.000000
2.958474 3680791677095237.500000
2.957275 3446565135490079.500000
