Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
2.914568 48932185549470328.000000
2.913404 48488227042761008.000000
2.912234 48708494008200000.000000
2.911065 49261713010951504.000000
2.909903 47878604888783664.000000
2.908736 48129060829859336.000000
2.907577 47106496997055992.000000
2.906411 46598207858943992.000000
2.905247 47333887856527336.000000
2.904090 45943464736511992.000000
2.902928 46649296405724992.000000
2.901766 45712746739092000.000000
2.900612 46297383604053328.000000
2.899452 46456361973805992.000000
2.898300 44754379900120496.000000
2.897142 44820694159658664.000000
2.895985 44306503543241664.000000
2.894836 43546600150103992.000000
2.893681 42632623471199992.000000
2.892526 43401759070429488.000000
2.891380 42240696931389664.000000
2.890227 42642525877226656.000000
2.889083 43014052313734000.000000
2.887932 40928180434638000.000000
2.886782 42006332246762664.000000
2.885640 40593131108153992.000000
2.884492 40717845280574992.000000
2.883352 40534283912979168.000000
2.882206 39671902107289328.000000
2.881061 39610824012057832.000000
2.879923 39147753644427168.000000
2.878780 37818263289935328.000000
2.877638 38250608653886000.000000
2.876503 38063994852031496.000000
2.875362 36296425781250000.000000
2.874229 36976478991466664.000000
2.873090 35577721134671004.000000
2.871953 35170942782834668.000000
2.870822 36597883723074664.000000
2.869686 34635261983969504.000000
2.868558 34257656863649996.000000
2.867423 33973086053040000.000000
2.866290 33719225503537500.000000
2.865164 33371125550754168.000000
2.864032 32960116220413332.000000
2.862908 31860416063607324.000000
2.861778 32699145544734168.000000
2.860649 31879434691738668.000000
2.859528 31402999812348000.000000
2.858401 30957295875124504.000000
2.857281 30636277650402660.000000
2.856156 30283453081666660.000000
2.855038 29772711282133328.000000
2.853914 29701768842077328.000000
2.852791 29032405335494660.000000
2.851676 28582422246528000.000000
2.850555 28794134656369496.000000
2.849441 28248518039409164.000000
2.848322 28333897551231996.000000
2.847204 27787140680462500.000000
2.846093 27745564110054164.000000
2.844976 27450730420352000.000000
2.843867 26806732847316004.000000
2.842752 26574072585657000.000000
2.841638 26848801430784000.000000
2.840532 26647398657919332.000000
2.839419 25682919758374664.000000
2.838314 25480245295573500.000000
2.837204 25723043936666668.000000
2.836101 25711198669800000.000000
2.834992 25348692511732500.000000
2.833884 25464247011252000.000000
2.832784 24973079265061336.000000
2.831677 24832795344465500.000000
2.830578 24916049273881828.000000
2.829474 24167273611613336.000000
2.828377 24153992314763996.000000
2.827274 24076659745162496.000000
2.826172 23550001901903996.000000
2.825078 23118724017119996.000000
2.823977 23940100113284164.000000
2.822884 22800907929650164.000000
2.821786 22335899092622664.000000
2.820695 22739694454463996.000000
2.819598 21919297801980000.000000
2.818509 21807210479712664.000000
2.817413 21436754660266664.000000
2.816319 21453415558030664.000000
2.815232 20952636392268000.000000
2.814140 21163064977216000.000000
2.813054 20823169543362000.000000
2.811964 20806918980003000.000000
2.810880 20466184901553160.000000
2.809791 20319756194849336.000000
2.808702 19815748864541664.000000
2.807621 20253640602095832.000000
2.806535 19651161570450668.000000
2.805455 19275565782911996.000000
2.804370 19290483381047996.000000
2.803293 19337929798402832.000000
2.802209 18830715241154664.000000
2.801133 18551240839418664.000000
2.800051 18794376860095832.000000
2.798977 18874231071049500.000000
2.797897 18332288436000000.000000
2.796818 18379199286013500.000000
2.795746 17999856938431502.000000
2.794668 17587184189157332.000000
2.793598 17764848773290664.000000
2.792522 18370061648265164.000000
2.791454 17233066538226002.000000
2.790379 17772942551040000.000000
2.789312 18181799820271996.000000
2.788240 17833192693854168.000000
2.787175 17912806272762498.000000
2.786104 17332327631149998.000000
2.785034 17676042100069166.000000
2.783971 17193574289579996.000000
2.782902 17537678277419998.000000
2.781841 16392030559080000.000000
2.780774 16868578511924830.000000
2.779714 16682447358043832.000000
2.778649 16330134983200000.000000
2.777591 16076846088600000.000000
2.776528 15889712105012998.000000
2.775471 15935078727539834.000000
2.774409 15814107816316666.000000
2.773354 15459640202069334.000000
2.772294 15304749279808500.000000
2.771241 15616706602301998.000000
2.770182 15094332484992002.000000
2.769130 15105799804845332.000000
2.768073 14548766488812498.000000
2.767023 15028402537170832.000000
2.765968 14872391953063998.000000
2.764913 14481476606088000.000000
2.763866 13955699722223998.000000
