Processed Data:
Y = (y * x^2) / (I*t)
Processed Data:
X = 1240/x
3.310533 9350774511402602.000000
3.309023 8945061116109301.000000
3.307513 8868894881529600.000000
3.306005 8595624718687499.000000
3.304499 8357047416624600.000000
3.302994 8132118208395298.000000
3.301490 7934981948100001.000000
3.299996 7546823285445799.000000
3.298495 7391172662044299.000000
3.296995 7171576347000001.000000
3.295497 7043598305689750.000000
3.294000 6702815803917200.000000
3.292505 6559977519316250.000000
3.291010 6331691746457600.000000
3.289517 5939574010645000.000000
3.288034 6129822748437500.000000
3.286544 5686973251059199.000000
3.285055 5606640575102150.000000
3.283568 5497633196146200.000000
3.282082 5438380302326100.000000
3.280597 5043271478120001.000000
3.279113 5019236075915100.000000
3.277640 4909248521106301.000000
3.276159 4591361019751200.000000
3.274680 4530987095180400.000000
3.273201 4370037826480200.000000
3.271725 4345254898256250.000000
3.270249 4054439179123200.000000
3.268775 3914192782324799.500000
3.267302 3752083416040199.500000
3.265839 3769861857545599.500000
3.264369 3578462925048799.500000
3.262900 3393935821149999.500000
3.261433 3281348569102700.500000
3.259967 3161320455690400.500000
3.258502 3171404149193100.000000
3.257038 3123524878103800.500000
3.255584 2952227846629600.500000
3.254123 2918578551802500.500000
3.252664 2812198640520600.000000
3.251205 2727443842668749.500000
3.249748 2744449513062399.500000
3.248293 2717764985856649.500000
3.246838 2647272753015000.500000
3.245394 2547440455679999.500000
3.243942 2425522728216599.500000
3.242491 2442317987602800.000000
3.241042 2320081847836650.000000
3.239594 2234251265364000.250000
3.238147 2243579977642500.000000
3.236711 2245572447682500.000000
3.235266 2365097924033600.000000
3.233824 2161364546592300.250000
3.232382 2258948518333400.000000
3.230942 2135762949554500.000000
3.229503 2159780375439999.750000
3.228074 2095293167979999.750000
3.226637 2008546716973599.750000
3.225202 1943816152009600.000000
3.223769 2197061026117649.750000
3.222336 1969488134126800.250000
3.220905 1934185525436250.000000
3.219475 1928486876368000.000000
3.218054 1997003898412200.250000
3.216627 1813016831509800.250000
3.215201 1993113403401600.000000
3.213776 1875783847404600.000000
3.212352 1892347245270000.000000
3.210938 1789619908800000.250000
3.209517 1724034949571549.750000
3.208097 1837610854753199.750000
3.206678 1592510222051850.000000
3.205261 1653784487180799.750000
3.203845 1625287589791250.000000
3.202438 1649204832274999.750000
3.201024 1710685885286400.000000
3.199612 1592042378415400.250000
3.198201 1570898836625800.000000
3.196791 1504578763210000.250000
3.195382 1551082805080000.000000
3.193983 1484616949065000.250000
3.192577 1267184829128400.000000
3.191172 1268300873145600.000000
3.189768 1314753744426300.000000
3.188366 1414225829352599.750000
3.186972 1112689739061600.125000
3.185572 1204579667448750.000000
3.184174 1129811940596200.000000
3.182776 1123215085826599.875000
3.181380 1146989158371199.750000
3.179985 1193611526209850.250000
3.178599 1012030462008649.875000
3.177206 1302322990320000.000000
3.175815 998560491276550.000000
3.174424 1014693886778600.125000
3.173035 1015582472845850.000000
3.171656 1047036661477650.125000
3.170269 1124445673776600.250000
3.168884 1056525260872500.125000
3.167499 1003810153672800.000000
3.166116 981679184697599.875000
3.164743 1051615846199650.125000
3.163362 998754848936000.000000
3.161983 991936994262450.000000
3.160605 977409963515000.000000
3.159228 962856468756249.875000
3.157860 832628776901400.000000
3.156485 979962714721399.875000
3.155112 888140504471749.875000
3.153740 896643215564800.250000
3.152369 827795634733750.000000
3.151007 805282013249999.875000
3.149638 829231491225600.125000
3.148271 806682311182800.125000
3.146905 822909510853200.000000
3.145548 854699709952000.125000
3.144184 731013539512700.000000
3.142821 801698967875000.125000
3.141459 716701472068600.125000
3.140099 725119566237599.875000
3.138748 772566220027800.000000
3.137390 624836497156000.000000
3.136033 617560076703200.000000
3.134677 719806070875000.000000
3.133323 673444055018799.875000
3.131977 626997916224000.000000
3.130625 643228137432900.000000
3.129274 659485690768800.000000
3.127925 691486188980399.875000
3.126584 692079373924400.000000
3.125236 684804983114999.875000
3.123890 669639169294249.875000
3.122545 717525629475200.000000
3.121201 655010195669350.000000
3.119866 718758436800949.875000
3.118524 656135108310400.000000
3.117183 743732051517500.000000
3.115844 728533910917600.000000
3.114514 634049097984000.125000
3.113177 666323558245800.125000
3.111841 674835045057000.000000
3.110506 611845947023850.000000
3.109180 668037697996200.000000
3.107847 620852778390000.000000
3.106516 709016292448450.000000
3.105186 574077766406400.000000
3.103857 598509926283749.875000
3.102536 638954027716000.000000
3.101209 623513374910400.000000
3.099884 592044400832500.000000
3.098559 592550688005199.875000
3.097243 408726563176800.000000
3.095921 553455478165050.000000
3.094600 529844327773199.875000
3.093280 498157460999100.062500
3.091969 643329118084000.000000
3.090651 515102285119999.937500
3.089334 531652133631299.875000
3.088018 451483224371200.000000
3.086712 540624893701399.937500
3.085398 516857547036800.000000
3.084086 379890331225600.062500
3.082775 517737584720000.062500
3.081473 453403395269999.937500
3.080164 469995563750400.062500
3.078856 470394923426100.062500
3.077549 438325869754800.000000
3.076251 463067816870400.062500
3.074947 406544552702500.000000
3.073644 390613835760000.000000
3.072341 382800352922350.000000
3.071048 399426000080450.000000
3.069748 489507418092000.000000
3.068449 342945365214900.000000
3.067151 433130714538399.937500
3.065862 417136747195800.000000
3.064566 425675615625000.000000
3.063271 401456513959199.937500
3.061978 418195591276949.937500
3.060693 467787567991649.937500
3.059402 476396267105600.000000
3.058112 402812387630450.000000
3.056830 394922666882400.000000
3.055542 354083225660000.000000
3.054255 346140253370100.000000
3.052969 470157575195399.937500
3.051692 387998381426400.000000
3.050408 413111722522500.000000
3.049125 421728542803799.937500
3.047844 430359420465000.000000
3.046571 414153025562500.000000
3.045291 414501096490000.000000
3.044013 389958354805150.062500
3.042743 282333034739300.000000
3.041467 432165913930400.000000
3.040192 382621378670300.062500
3.038918 374617443600000.000000
3.037652 399924969839999.937500
3.036380 408598850844449.937500
3.035109 350520947078400.000000
3.033847 258933193590199.968750
3.032578 367825667987799.937500
3.031311 309566708777600.000000
3.030044 309825577666250.000000
3.028786 318463662647500.000000
3.027521 285179249619200.000000
3.026258 369363728819800.000000
3.025003 277252712366849.968750
3.023741 369978769036800.000000
3.022481 361871761224150.062500
3.021222 421131962250000.000000
3.019971 328755102000000.000000
3.018714 337465628882000.062500
3.017457 388408652937200.000000
3.016210 287322230124800.000000
3.014956 355222782786900.000000
3.013703 262406310879800.031250
3.012451 313455010156250.000000
3.011207 322192731847500.062500
3.009957 364889368085400.000000
3.008708 348206658876450.000000
3.007468 331494271385550.000000
3.006221 408331441161600.000000
3.004975 289474635241700.000000
3.003738 289713195493700.000000
3.002494 247313073145000.000000
3.001251 273123219073600.000000
3.000010 298975848892000.000000
2.998776 410361369609600.000000
2.997537 325138166765100.000000
2.996298 333970369855200.000000
2.995068 282822527123400.000000
2.993831 325943507027500.000000
2.992596 283289976314400.000000
2.991368 223381346078800.000000
2.990135 361144563798900.000000
2.988902 335625141976800.000000
2.987678 301448947527000.000000
2.986448 267217696205550.031250
2.985218 146659462740000.000000
2.983997 224486343250000.031250
2.982770 259235924761500.000000
2.981543 233504310146400.000000
2.980318 276973471950399.968750
2.979101 303187343005750.000000
2.977877 312106124188800.000000
2.976655 399129880437500.000000
2.975441 199727854278750.000000
2.974220 278110321689600.000000
2.973001 339225052859550.000000
2.971790 295975786883300.000000
2.970572 209095362220799.968750
2.969356 252863940961449.968750
2.968147 314155687249800.062500
2.966933 270744457580000.000000
2.965720 349633616642000.000000
2.964514 279934391937600.031250
2.963303 245142906825599.968750
2.962092 280392345806399.968750
2.960890 263081365273500.000000
2.959682 228190083284800.000000
2.958474 219592685281249.968750
2.957275 246143356235000.000000
2.956069 281536183321600.000000
2.954864 220129505761250.000000
2.953668 334867995629100.000000
2.952465 343960344280800.000000
2.951264 335413812033900.000000
2.950070 194344115065100.000000
2.948870 256389362500000.000000
2.947672 345079975969950.000000
2.946481 363069651926050.000000
2.945284 248151545801600.031250
2.944088 230613655335700.000000
2.942901 221922938261250.031250
2.941707 168798358447200.000000
2.940514 213392007630000.000000
2.939329 293650629071250.000000
2.938138 276077297208800.000000
2.936955 294125545619400.062500
2.935766 267603495193500.000000
2.934578 107128087382400.000000
2.933398 330577438919400.000000
2.932212 143068085056800.000000
2.931026 161081787240000.000000
2.929849 250773086060000.031250
2.928666 268902610201500.000000
2.927483 287061182694400.000000
2.926309 251380195589600.031250
2.925129 233612901039700.000000
2.923949 179847239056000.000000
2.922777 224989320645000.000000
2.921600 216163896750000.000000
2.920430 207323051128750.031250
2.919254 162383539280400.000000
2.918080 198628599365900.031250
2.916913 243966547956150.031250
2.915740 289378203654400.000000
2.914568 271510277401500.000000
2.913404 344187913005900.062500
2.912234 172232267895000.000000
2.911065 190514912197050.031250
2.909903 245143299367350.000000
2.908736 263513423045800.031250
2.907577 291005386854400.000000
2.906411 345846073953099.937500
2.905247 300580814483400.062500
2.904090 209662636694399.968750
2.902928 118599906116249.984375
2.901766 319563142983000.000000
2.900612 127926981011200.000000
2.899452 228623828611249.968750
2.898300 164740048712100.000000
2.897142 293105356902400.000000
2.895985 100835490822550.000000
2.894836 45870716450249.992188
2.893681 220355268479999.968750
2.892526 248097564199349.937500
2.891380 137941317990749.984375
2.890227 285306108387199.937500
2.889083 175003638963800.000000
2.887932 267323701037050.000000
2.886782 285987474300800.000000
2.885640 175421415706200.000000
2.884492 267961614176249.968750
2.883352 231184128781250.000000
2.882206 111056646645600.000000
2.881061 240814050891700.000000
2.879923 231734926861250.031250
2.878780 213365508340600.000000
2.877638 222819079537200.000000
2.876503 232286380301250.000000
2.875362 241769531250000.000000
2.874229 260572502960000.000000
2.873090 316660345177700.000000
2.871953 251664873269400.031250
2.870822 158580464730400.000000
2.869686 214719953000350.031250
2.868558 224231935834800.000000
2.867423 168307031822400.000000
2.866290 149724590580000.000000
2.865164 215398284658750.031250
2.864032 140588173452000.015625
2.862908 187598131875999.968750
2.861778 244070177271700.031250
2.860649 75157802809600.015625
2.859528 141031436283000.000000
2.858401 235237810601250.031250
2.857281 178920883818949.968750
2.856156 216759155874999.968750
2.855038 179202169280000.000000
2.853914 179343307626949.968750
2.852791 188931054243999.968750
2.851676 236348585280000.000000
2.850555 217611751510350.000000
2.849441 151500431943200.000000
2.848322 170571958502400.000000
2.847204 312960970121250.000000
2.846093 208803561147500.000000
2.844976 208967498009600.000000
2.843867 237648340845000.031250
2.842752 275888343073050.000000
2.841638 257062992422399.968750
2.840532 57169627633200.007812
2.839419 238393438351250.000000
2.838314 133604282448700.015625
2.837204 191012702500000.000000
2.836101 296300059020000.062500
2.834992 220007519913150.000000
2.833884 210606554228400.031250
2.832784 182028838632800.031250
2.831677 134231326186300.015625
2.830578 143930964996750.000000
2.829474 249675144596800.031250
2.828377 67272392388599.992188
2.827274 182738962113750.000000
2.826172 202132168912799.968750
2.825078 134859223433199.984375
2.823977 96403087704500.000000
2.822884 202603272153450.000000
2.821786 173795180259600.000000
2.820695 77302077465600.000000
2.819598 183735290398950.000000
2.818509 212910634861100.000000
2.817413 96852807200000.000000
2.816319 213241781149100.000000
2.815232 77602357008400.000000
2.814140 194156559424000.000000
2.813054 126299162082600.015625
2.811964 155565749383200.000000
2.810880 262719647706149.937500
2.809791 107116925627800.015625
2.808702 233890806270000.000000
2.807621 195059139024999.968750
2.806535 156168171420800.000000
2.805455 78144185606400.000000
2.804370 185736073094550.000000
2.803293 146746516176750.000000
2.802209 58743999019199.992188
2.801133 39192762336800.000000
2.800051 215726760481100.000000
2.798977 127572792334650.015625
2.797897 157133900880000.000000
2.796818 137598283424700.000000
2.795746 245899684951250.031250
2.794668 187027891563800.000000
2.793598 275831293337600.000000
2.792522 157739348679200.000000
2.791454 118395113621400.015625
2.790379 29621570918400.000000
2.789312 227272497753399.968750
2.788240 128557211656250.015625
2.787175 178138404922499.968750
2.786104 69329310524599.992188
2.785034 109029792392950.000000
2.783971 178548656084100.000000
2.782902 39707950816800.000000
2.781841 248364099380000.000000
2.780774 69595314096349.992188
2.779714 308442863677550.000000
2.778649 169275789460000.000000
2.777591 189334757655000.031250
2.776528 149589339900750.000000
2.775471 309386705983550.000000
2.774409 209745008932200.031250
2.773354 119945484326400.015625
2.772294 50015520522250.000000
2.771241 190203477848549.968750
2.770182 260477418988800.031250
2.769130 110285706539800.000000
2.768073 230773537408749.968750
2.767023 220907476047500.000000
2.765968 100489134817999.984375
2.764913 251414524411250.000000
2.763866 60385239182699.992188
2.762813 211509476980200.000000
2.761766 181431201729600.000000
2.760715 141220665096700.000000
2.759671 161517240192800.000000
2.758621 171742712500000.000000
