Processed Data:
Y = y*x^2
Processed Data:
X = 1240/x
3.022481 168985696.869324
3.021222 172664104.522500
3.019971 176853385.640000
3.018714 175313394.204199
3.017457 170393187.310276
3.016210 168844063.467456
3.014956 164586556.024597
3.013703 165908506.233680
3.012451 162996605.281250
3.011207 162961692.266025
3.009957 162757629.764604
3.008708 161873632.150857
3.007468 158267264.953819
3.006221 157718019.148668
3.004975 153762115.072503
3.003738 148946666.389114
3.002494 147705600.926600
3.001251 148681452.383191
3.000010 146925274.312640
2.998776 142429592.035332
2.997537 143403044.078502
2.996298 140781355.908192
2.995068 142611116.707072
2.993831 138954863.522250
2.992596 138554552.051952
2.991368 137637275.545476
2.990135 135687171.827301
2.988902 129430823.982848
2.987678 132120767.287548
2.986448 127747298.637621
2.985218 130268111.022000
2.983997 125021625.010000
2.982770 124087595.985838
2.981543 120557410.497808
2.980318 123253195.017928
2.979101 123873685.856635
2.977877 122241565.307280
2.976655 120780172.515000
2.975441 118099948.617000
2.974220 117849248.815968
2.973001 118293864.586920
2.971790 118390314.753320
2.970572 117441895.114016
2.969356 117363746.391073
2.968147 119204630.217563
2.966933 122621038.207200
2.965720 118001345.616675
2.964514 115997813.659143
2.963303 121871045.107584
2.962092 119166746.967720
2.960890 116632738.604585
2.959682 112515264.142736
2.958474 116998982.717850
2.957275 117621360.943725
2.956069 119124997.567952
2.954864 116228379.041940
2.953668 114560103.767850
2.952465 115006227.933888
2.951264 108568154.947815
2.950070 111836204.396553
2.948870 111396757.500000
2.947672 115203622.746891
2.946481 113348574.259840
2.945284 111313693.402432
2.944088 108211022.888290
2.942901 110073777.377580
2.941707 109097044.301664
2.940514 105451217.103825
2.939329 104112495.761625
2.938138 102772000.315792
2.936955 101963522.481392
2.935766 103116546.814562
2.934578 96593825.456464
2.933398 98815850.660772
2.932212 99968824.433439
2.931026 98438869.980000
2.929849 92786041.842200
2.928666 93757376.756923
2.927483 92936057.897312
2.926309 89778641.282000
2.925129 85358559.995275
2.923949 82370035.487648
2.922777 86035916.214648
2.921600 83763509.990625
2.920430 85993995.989925
2.919254 85161145.044832
2.918080 78187439.568577
2.916913 82767910.343642
2.915740 78674699.118540
2.914568 78737980.446435
2.913404 77895159.259230
2.912234 76688683.494300
2.911065 76568850.425862
2.909903 74450927.956010
2.908736 77963626.542516
2.907577 73660738.547520
2.906411 73901845.276294
2.905247 73414586.810188
2.904090 75478549.209984
2.902928 75539017.126350
2.901766 71947359.048744
2.900612 75294165.966592
2.899452 76268909.224713
2.898300 75231288.911859
2.897142 71444430.744960
2.895985 72418216.136195
2.894836 71191351.930788
2.893681 71982721.036800
2.892526 73694165.365881
2.891380 71545563.597869
2.890227 74915862.008768
2.889083 72948885.294384
2.887932 72453941.039697
2.886782 72327154.790912
2.885640 69799258.038888
2.884492 69115616.346150
2.883352 71574606.270675
2.882206 67374365.631664
2.881061 71503248.957074
2.879923 67851986.584974
2.878780 68276962.668992
2.877638 66474358.728598
2.876503 64111040.963145
2.875362 64905820.312500
2.874229 66259865.038400
2.873090 67057484.861160
2.871953 62636590.680384
2.870822 61193402.860672
2.869686 57694317.806181
2.868558 62598082.087215
2.867423 59468484.577248
2.866290 59515524.755550
2.865164 56565462.579950
2.864032 58109778.360160
2.862908 57780224.617808
2.861778 56323887.062700
2.860649 55240985.065056
2.859528 53027820.042408
2.858401 52881459.823161
2.857281 53299589.600803
2.856156 51645224.965000
2.855038 52062946.022400
2.853914 54558122.004409
2.852791 47988487.777976
2.851676 47836953.660672
2.850555 49577633.822358
2.849441 47722636.062108
2.848322 47570623.982336
2.847204 45900942.284450
2.846093 49353568.998500
2.844976 46922701.825792
2.843867 46388956.132944
2.842752 46235080.942587
2.841638 45319253.478912
2.840532 45735702.106560
2.839419 45580825.412759
2.838314 43898549.947430
2.837204 44696972.385000
2.836101 45114073.502400
2.834992 42279706.000701
